丄|上
丅|下
丒|丑
丗|世
个|個
丰|豊
乘|乗
亂|乱
亊|事
亖|四
亙|亘
亞|亜
亰|京
仃|停
从|従
仐|傘
仝|同
仟|千
份|分
伍|五
佘|余
佛|仏
佰|百
來|来
侽|男
俁|俣
俢|修
假|仮
傳|伝
僞|偽
僱|雇
價|値
儘|尽
兇|凶
兒|児
兔|兎
兩|両
兹|茲
冐|冒
冢|塚
冦|寇
冨|富
冩|写
冰|氷
减|減
凛|凜
凢|凡
凮|風
凴|憑
凾|函
刄|刃
剩|剰
剱|剣
劍|剣
劑|剤
劒|剣
劔|剣
劵|券
勑|勅
勛|勲
勞|労
勳|勲
勸|勧
匞|匠
區|区
卆|卒
卋|世
卷|巻
卻|却
參|参
叠|畳
启|啓
吴|呉
咏|詠
咒|呪
啞|唖
單|単
噐|器
嚙|齧
嚴|厳
囑|嘱
囗|国
囘|回
圀|国
國|国
圍|囲
圓|円
圖|図
團|団
坐|座
坭|泥
埀|垂
堊|亜
塟|葬
塲|場
壓|圧
壘|塁
壞|壊
壤|壌
壯|壮
壱|一
壹|一
壺|壷
壼|壷
壽|寿
夛|多
夣|夢
奧|奥
奬|奨
姊|姉
娤|装
孃|嬢
學|学
宁|寧
宼|寇
寐|寝
寢|寝
實|実
寫|写
寳|宝
寶|宝
將|将
專|専
對|対
屆|届
峩|峨
峯|峰
峺|硬
峽|峡
崋|華
崕|崖
崗|岡
嵜|崎
嵳|嵯
嶋|島
嶌|島
嶽|岳
巛|川
帶|帯
幤|幣
并|並
廐|厩
廚|厨
廣|広
廳|庁
廻|回
廾|廿
异|異
弃|棄
弌|一
弍|二
弎|三
弐|二
彅|薙
彈|弾
彌|弥
從|従
恆|恒
惠|恵
惱|悩
愽|博
慘|惨
慾|欲
慿|憑
憇|憩
憙|喜
應|応
懴|懺
戀|恋
戰|戦
戲|戯
扑|撲
抂|狂
抛|放
拂|払
拔|抜
拜|拝
挾|挟
揑|捏
插|挿
搔|掻
搖|揺
搜|捜
摑|掴
擇|択
擊|撃
擔|担
擕|携
據|拠
擧|挙
擴|拡
攝|摂
收|収
效|効
數|数
斷|断
无|無
昰|是
晉|晋
晝|昼
曵|曳
曾|曽
會|会
杰|傑
枩|松
柹|柿
條|条
梦|夢
榮|栄
槇|槙
槗|橋
樞|枢
樣|様
檜|桧
檢|検
櫻|桜
權|権
欝|鬱
欬|咳
歐|欧
歡|歓
歸|帰
殘|残
殱|殲
殻|殼
毆|殴
氣|気
沒|没
泪|涙
淵|渕
淺|浅
渊|渕
渗|滲
滿|満
潛|潜
澀|渋
澁|渋
澤|沢
澹|淡
濕|湿
濟|済
濤|涛
濱|浜
濳|潜
濵|浜
瀆|涜
瀘|濾
瀧|滝
灣|湾
灵|霊
灾|災
烟|煙
煕|熙
熈|熙
燈|灯
營|営
爭|争
爲|為
犧|犠
獨|独
獵|猟
獸|獣
獻|献
甌|瓯
甼|町
畄|留
畧|略
畫|画
畱|留
當|当
疂|畳
疉|畳
痲|痳
痹|痺
瘦|痩
發|発
盃|杯
盜|盗
盡|尽
眞|真
眾|衆
碎|砕
磺|砿
礒|磯
礦|砿
祕|秘
祿|禄
禦|御
禮|礼
禱|祷
稱|称
稻|稲
穐|秋
穗|穂
穩|穏
窗|窓
竈|竃
竊|窃
竒|奇
竝|並
竸|競
笔|筆
箇|個
籐|藤
籘|藤
籠|篭
籤|籖
粮|糧
粹|粋
綜|総
縣|県
縱|縦
總|総
繡|繍
繩|縄
繪|絵
繫|繋
繼|継
續|続
纎|繊
缺|欠
罐|缶
网|網
羡|羨
羲|義
耻|恥
聯|連
聰|聡
聲|声
聽|聴
肈|肇
脉|脈
脋|脅
腦|脳
膽|胆
臟|臓
臺|台
與|与
舉|挙
舊|旧
舍|舎
舖|舗
舩|船
艷|艶
莊|荘
莵|兎
菟|兎
菸|煙
萊|莱
萠|萌
萬|万
蔣|蒋
薧|薨
藏|蔵
藝|芸
藥|薬
藪|薮
藳|藁
蘆|芦
處|処
號|号
蝅|蚕
螢|蛍
蟲|虫
蠅|蝿
蠟|蝋
蠻|蛮
衞|衛
裝|装
裡|裏
裵|裴
襃|褒
襌|褝
覺|覚
覽|覧
觀|観
觸|触
謠|謡
證|証
譯|訳
譽|誉
讀|読
變|変
